Date,Tempature High (°F),Tempature Low (°F),Percipitation MTD (Inch),Percipitation YTD (Inch),Snow MTD (Inch),Snow YTD (Inch),Rain
3/30/2016,57.4,33.2,1.89,3.46,4.09,16.3,0
3/31/2016,57.8,33.6,2.01,3.54,4.21,16.42,0
4/1/2016,58.2,34,0.08,3.62,0.12,16.5,1
4/2/2016,58.7,34.4,0.16,3.7,0.12,16.5,0
4/3/2016,59.1,34.8,0.24,3.82,0.2,16.61,0
4/4/2016,59.5,35.2,0.31,3.9,0.2,16.61,0
4/5/2016,59.9,35.6,0.39,3.98,0.31,16.69,0
4/6/2016,60.3,36,0.47,4.06,0.31,16.69,0
4/7/2016,60.6,36.4,0.59,4.13,0.39,16.81,0
4/8/2016,61,36.8,0.67,4.21,0.39,16.81,0
4/9/2016,61.4,37.2,0.75,4.33,0.51,16.89,0
4/10/2016,61.8,37.6,0.87,4.41,0.51,16.89,0
4/11/2016,62.2,38,0.94,4.49,0.59,17.01,0
4/12/2016,62.5,38.4,1.02,4.61,0.59,17.01,0
4/13/2016,62.9,38.8,1.1,4.69,0.59,17.01,0
4/14/2016,63.3,39.2,1.22,4.76,0.71,17.09,0
4/15/2016,63.6,39.6,1.3,4.88,0.71,17.09,0
4/16/2016,64,40,1.42,4.96,0.71,17.09,0
4/17/2016,64.3,40.4,1.5,5.08,0.79,17.2,0
4/18/2016,64.7,40.8,1.57,5.16,0.79,17.2,0
4/19/2016,65,41.2,1.69,5.24,0.79,17.2,0
4/20/2016,65.4,41.6,1.77,5.35,0.79,17.2,0
4/21/2016,65.7,42,1.89,5.47,0.91,17.28,0
4/22/2016,66.1,42.4,2.01,5.55,0.91,17.28,0
4/23/2016,66.4,42.8,2.13,5.67,0.91,17.28,0
4/24/2016,66.8,43.2,2.24,5.79,0.91,17.28,0
4/25/2016,67.1,43.6,2.36,5.91,0.91,17.28,0
4/26/2016,67.4,44,2.48,6.02,0.91,17.28,0
4/27/2016,67.8,44.4,2.6,6.14,0.98,17.4,0
4/28/2016,68.1,44.7,2.72,6.3,0.98,17.4,0
4/29/2016,68.4,45.1,2.83,6.42,0.98,17.4,0
4/30/2016,68.7,45.5,2.95,6.54,0.98,17.4,0
5/1/2016,69.1,45.8,0.12,6.65,0,17.4,1
5/2/2016,69.4,46.2,0.28,6.77,0,17.4,0
5/3/2016,69.7,46.6,0.39,6.93,0,17.4,0
5/4/2016,70,46.9,0.51,7.05,0.12,17.52,0
5/5/2016,70.3,47.3,0.67,7.17,0.12,17.52,0
5/6/2016,70.7,47.6,0.79,7.32,0.12,17.52,0
5/7/2016,71,47.9,0.94,7.44,0.12,17.52,0
5/8/2016,71.3,48.3,1.1,7.64,0.12,17.52,0
5/9/2016,71.6,48.6,1.26,7.76,0.12,17.52,0
5/10/2016,71.9,48.9,1.42,7.91,0.12,17.52,0
5/11/2016,72.2,49.3,1.57,8.07,0.12,17.52,0
5/12/2016,72.5,49.6,1.73,8.23,0.12,17.52,0
5/13/2016,72.9,49.9,1.89,8.39,0.12,17.52,0
5/14/2016,73.2,50.3,2.05,8.54,0.12,17.52,0
5/15/2016,73.5,50.6,2.2,8.7,0.12,17.52,0
5/16/2016,73.8,50.9,2.36,8.9,0.12,17.52,0
5/17/2016,74.1,51.2,2.52,9.06,0.12,17.52,0
5/18/2016,74.4,51.6,2.68,9.21,0.12,17.52,0
5/19/2016,74.7,51.9,2.87,9.37,0.12,17.52,0
5/20/2016,75,52.2,2.99,9.53,0.12,17.52,0
5/21/2016,75.4,52.5,3.19,9.69,0.12,17.52,0
5/22/2016,75.7,52.9,3.35,9.84,0.12,17.52,0
5/23/2016,76,53.2,3.5,10,0.12,17.52,0
5/24/2016,76.3,53.5,3.62,10.16,0.12,17.52,0
5/25/2016,76.6,53.9,3.78,10.31,0.12,17.52,0
5/26/2016,76.9,54.2,3.94,10.47,0.12,17.52,0
5/27/2016,77.3,54.5,4.09,10.63,0.12,17.52,0
5/28/2016,77.6,54.9,4.25,10.79,0.12,17.52,0
5/29/2016,77.9,55.2,4.41,10.94,0.12,17.52,0
5/30/2016,78.2,55.6,4.61,11.1,0.12,17.52,0
5/31/2016,78.6,55.9,4.76,11.3,0.12,17.52,0
6/1/2016,78.9,56.2,0.16,11.46,0,17.52,1
6/2/2016,79.2,56.6,0.31,11.61,0,17.52,0
6/3/2016,79.5,56.9,0.47,11.77,0,17.52,0
6/4/2016,79.9,57.3,0.67,11.93,0,17.52,0
6/5/2016,80.2,57.6,0.79,12.09,0,17.52,0
6/6/2016,80.5,58,0.94,12.24,0,17.52,0
6/7/2016,80.8,58.3,1.1,12.36,0,17.52,0
